1 3 4 
7471 30804 41679 38284
7481 41271 42129 48761
7491 24195 38127 31695
7501 44553 31903 52063
7511 37605 33399 45125
7521 23265 33211 30795
7531 23490 41961 31030
7541 44136 36937 51686
7551 45123 24571 52683
7561 40725 40293 48295
7571 34503 41719 42083
7581 23541 33965 31131
7591 38886 40501 46486
7601 45120 28655 52730
7611 45219 37043 52839
7621 36465 39371 44095
7631 44397 42477 52037
7641 44256 37927 51906
7651 24021 42625 31681
7661 43515 42377 51185
7671 45642 35721 53322
7681 35256 39547 42946
7691 43821 34759 51521
7701 29490 33287 37200
7711 38304 32657 46024
7721 24420 42195 32150
7731 30543 23727 38283
7741 28473 25811 36223
7751 27879 32295 35639
7761 28020 40849 35790
7771 32625 41839 40405
7781 38679 39171 46469
7791 24174 33009 31974
7801 33135 31633 40945
7811 28875 41937 36695
7821 42558 43395 50388
7831 40635 41139 48475
7841 27153 40495 35003
7851 29367 33893 37227
7861 35403 38249 43273
7871 29328 38701 37208
7881 28188 42615 36078
7891 40518 38267 48418
7901 35154 44189 43076
7911 24537 41435 32457
7921 43074 42519 51004
7931 27624 37553 35564
7941 41868 41311 49818
7951 32493 40443 40453
7961 26250 44093 34220
7971 25299 39057 33279
7981 30981 39329 38971
7991 31536 32295 39536
8001 39516 30407 47526
8011 38814 38661 46834
8021 31497 42067 39527
8031 42399 44767 50439
8041 34326 19637 42376
8051 37755 43695 45815
8061 44046 32645 52116
8071 37863 45283 45943
8081 38964 42359 47054
8091 44424 40589 52524
8101 48030 29205 56140
8111 42960 45623 51080
8121 48222 42233 56352
8131 48690 34613 56830
8141 32079 45047 40229
8151 34662 23765 42822
8161 38943 27881 47113
8171 43557 27205 51737
8181 25491 41969 33681
8191 32307 37439 40507
8201 40680 31047 48890
8211 36651 27449 44871
8221 24912 44913 33142
8231 39873 35545 48113
8241 32655 32019 40905
8251 25293 30327 33553
8261 26526 46095 34796
8271 30834 31047 39114
8281 48897 37931 57187
8291 33492 44893 41792
8301 34602 35435 42912
8311 33357 38845 41677
8321 48393 43475 56723
8331 36258 35919 44598
8341 39630 39129 47980
8351 36936 31141 45296
8361 34815 46005 43185
8371 29580 44159 37960
8381 36714 46357 45104
8391 47616 38813 56016
8401 36399 34617 44809
8411 38463 41343 46883
8421 28896 46525 37326
8431 32955 26035 41395
8441 27339 27971 35789
8451 48792 46455 57252
8461 31113 39837 39583
8471 28218 24227 36698
8481 29589 38393 38079
8491 48618 47503 57118
8501 44904 20811 53414
8511 46674 36623 55194
8521 42789 44659 51319
8531 33195 46351 41735
8541 38607 40457 47157
8551 29271 36503 37831
8561 50019 45491 58589
8571 45276 36853 53856
8581 31503 47155 40093
8591 32607 44747 41207
8601 29313 46337 37923
8611 36333 20723 44953
8621 50397 27157 59027
8631 27717 47275 36357
8641 37113 21785 45763
8651 39906 32005 48566
8661 42801 47175 51471
8671 43479 42755 52159
8681 29058 42987 37748
8691 39333 37481 48033
8701 44628 21137 53338
8711 29895 45649 38615
8721 42102 39719 50832
8731 26691 38691 35431
8741 41223 48983 49973
8751 38187 45669 46947
8761 40170 38581 48940
8771 41364 48993 50144
8781 32736 44067 41526
8791 46287 31541 55087
8801 51831 48529 60641
8811 34011 49237 42831
8821 31221 25731 40051
8831 52515 49323 61355
8841 37383 25481 46233
8851 49746 22047 58606
8861 26592 27489 35462
8871 46500 38499 55380
8881 29721 38009 38611
8891 44646 49155 53546
8901 31452 39243 40362
8911 38232 42137 47152
8921 38214 45995 47144
8931 50235 18409 59175
8941 39105 49767 48055
8951 29091 44211 38051
8961 39282 49961 48252
8971 42843 49059 51823
8981 47304 42331 56294
8991 29157 38009 38157
9001 32640 38983 41650
9011 39885 28159 48905
9021 51228 40063 60258
9031 27135 24311 36175
9041 33636 21753 42686
9051 27567 50367 36627
9061 36201 19053 45271
9071 37638 51111 46718
9081 39801 38319 48891
9091 38718 28763 47818
9101 45921 27437 55031
9111 52314 48707 61434
9121 37887 50517 47017
9131 39735 39585 48887
9141 51828 50653 60978
9151 45438 51291 54598
9161 35130 40965 44300
9171 38379 39761 47559
9181 45933 39027 55123
9191 30687 47477 39887
9201 30495 25783 39705
9211 30837 51665 40057
9221 29073 41759 38303
9231 51231 51281 60471
9241 42783 50045 52033
9251 42351 50281 51611
9261 39093 27883 48363
9271 46017 38341 55297
9281 47757 51795 57047
9291 37005 50519 46305
9301 29136 24429 38446
9311 46614 51463 55934
9321 44190 49837 53520
9331 55557 52199 64897
9341 50505 49747 59855
9351 28404 42259 37764
9361 28968 51363 38338
9371 54933 51823 64313
9381 30849 20983 40239
9391 51786 46773 61186
9401 39081 51447 48491
9411 45420 28393 54840
9421 46173 45889 55603
9431 50187 46865 59627
9441 48774 24393 58224
9451 49926 21371 59386
9461 33276 51253 42746
9471 38178 53231 47658
9481 30906 53353 40396
9491 44613 43847 54113
9501 41952 27801 51462
9511 55176 47429 64696
9521 36528 53329 46058
9531 52824 28389 62364
9541 40860 36505 50410
9551 54108 48547 63680
9561 47670 52533 57240
9571 40185 52285 49765
9581 47943 41043 57533
9591 40176 25005 49776
9601 36234 53863 45844
9611 47310 52335 56930
9621 43104 31941 52734
9631 56673 50699 66313
9641 57414 49333 67064
9651 49374 52337 59034
9661 30864 47005 40534
9671 37521 32943 47201
9681 37791 52807 47481
9691 37704 53425 47404
9701 50781 51945 60491
9711 55029 45131 64749
9721 41199 44765 50929
9731 41805 40861 51545
9741 49536 42113 59286
9751 32868 27081 42628
9761 43302 51479 53072
9771 51048 39429 60828
9781 54384 44879 64174
9791 56034 36913 65834
9801 30276 37731 40086
9811 33180 49827 43000
9821 30849 42085 40679
9831 35163 54801 45003
9841 51786 42959 61636
9851 36762 45927 46622
9861 55950 35743 65820
9871 44736 48165 54616
9881 35118 41215 45008
9891 31395 52043 41295
9901 51060 44787 60970
9911 53823 54907 63743
9921 35211 45865 45141
9931 39222 54093 49162
9941 38901 48971 48851
9951 32430 48761 42390
9961 35976 49995 45946
9971 58167 42967 68147
9981 31104 49967 41094
9991 42345 49285 52345
